text,sql
"Вывести имя, фамилию и штат проживания всех клиентов из сегмента ""Mass Customer"", у которых оценка имущества меньше 5000.","SELECT first_name, last_name, state FROM customer WHERE wealth_segment = 'Mass Customer' AND property_valuation < 5000;"
"Найти все уникальные бренды продуктов, которые присутствуют в таблице товаров.",SELECT DISTINCT brand FROM product;
"Вывести название бренда, класс продукта и цену всех товаров, розничная цена которых превышает 100 долларов.","SELECT brand, product_class, list_price FROM product WHERE list_price > 100;"
"Найти все заказы, сделанные онлайн (""online_order = true"").","SELECT order_id, customer_id, order_date, order_status FROM orders WHERE online_order = TRUE LIMIT 1000; "
"Вывести ID заказа, ID продукта и количество для всех позиций в заказах, где количество товара больше 5 штук, а цена продажи единицы товара менее 200 долларов.","SELECT order_id, product_id, quantity FROM order_items WHERE quantity > 5 AND item_list_price_at_sale < 200;"
"Для каждого клиента, у которого есть хотя бы один заказ, вывести ID клиента и даты всех его заказов.","SELECT o.customer_id, o.order_date FROM orders o ORDER BY o.customer_id, o.order_date LIMIT 1000; "
"Найти названия брендов и цены всех продуктов бренда ""Giant Bicycles"".","SELECT brand, list_price FROM product WHERE brand = 'Giant Bicycles';"
"Найти клиентов, которые делали заказы, но никогда не покупали продукты класса ""Road Bikes"".","SELECT DISTINCT c.customer_id, c.first_name, c.last_name FROM customer c JOIN orders o ON c.customer_id = o.customer_id WHERE NOT EXISTS ( SELECT 1 FROM orders o2 JOIN order_items oi2 ON o2.order_id = oi2.order_id JOIN product p2 ON oi2.product_id = p2.product_id WHERE o2.customer_id = c.customer_id AND p2.product_class = 'Road Bikes' );"
"Найти имена и фамилии клиентов, проживающих в штате NSW, у которых есть автомобиль (""owns_car = 'Yes').","SELECT first_name, last_name FROM customer WHERE state = 'NSW' AND owns_car = 'Yes';"
"Найти бренд и линейку продукта (""product_line""), имеющие самую высокую розничную цену в каталоге.","SELECT brand, product_line, list_price FROM product ORDER BY list_price DESC LIMIT 1;"
"Вычислить среднюю сумму чека по всем утвержденным (""Approved"") заказам. Сумма чека равна сумме произведений количества на цену продажи по всем позициям заказа.","SELECT AVG(order_total) AS avg_check_amount FROM ( SELECT o.order_id, SUM(oi.quantity * oi.item_list_price_at_sale) AS order_total FROM orders o JOIN order_items oi ON o.order_id = oi.order_id WHERE o.order_status = 'Approved' GROUP BY o.order_id ) AS order_totals;"
"Найти среднюю стоимость единицы товара в заказах, сделанных клиентами из сегмента ""Affluent Customer"".",SELECT AVG(oi.item_list_price_at_sale) AS avg_item_price FROM customer c JOIN orders o ON c.customer_id = o.customer_id JOIN order_items oi ON o.order_id = oi.order_id WHERE c.wealth_segment = 'Affluent Customer';
