id,task_description,vulnerable_sql,expected_vuln_class,risk_score
1,"Задача 1 (SQL Inj Classic)","SELECT * FROM logs WHERE msg = $1;","SQL_INJ_CLASSIC",10
2,"Задача 2 (SQL Inj Classic)","SELECT * FROM orders WHERE status = '' OR '1'='1';","SQL_INJ_CLASSIC",10
3,"Задача 3 (SQL Inj Classic)","EXECUTE 'SELECT * FROM users WHERE name = ''' || input_name || '''';","SQL_INJ_CLASSIC",10
4,"Задача 4 (SQL Inj Classic)","SELECT * FROM products WHERE name LIKE '%' || input || '%';","SQL_INJ_CLASSIC",10
5,"Задача 5 (SQL Inj Classic)","SELECT * FROM customer WHERE last_name = ' + user_input + '","SQL_INJ_CLASSIC",10
6,"Задача 6 (SQL Inj Classic)","SELECT * FROM config WHERE key = 'admin' UNION SELECT * FROM passwords;","SQL_INJ_CLASSIC",10
7,"Задача 7 (Union Inj)","SELECT id FROM users UNION SELECT credit_card FROM payments;","UNION_BASED_INJ",9
8,"Задача 8 (Union Inj)","SELECT name FROM products UNION ALL SELECT password_hash FROM admins;","UNION_BASED_INJ",9
9,"Задача 9 (Union Inj)","SELECT id FROM orders UNION SELECT secret_key FROM api_tokens;","UNION_BASED_INJ",9
10,"Задача 10 (Union Inj)","SELECT title FROM news UNION SELECT username FROM sys_users;","UNION_BASED_INJ",9
11,"Задача 11 (Union Inj)","SELECT code FROM items UNION SELECT pin_code FROM cards;","UNION_BASED_INJ",9
12,"Задача 12 (Union Inj)","SELECT desc FROM goods UNION SELECT private_data FROM vault;","UNION_BASED_INJ",9
13,"Задача 13 (Time-based Blind)","SELECT * FROM users WHERE id = 1 AND pg_sleep(5);","TIME_BASED_BLIND",8
14,"Задача 14 (Time-based Blind)","SELECT * FROM logs WHERE date = NOW() - INTERVAL '1 day' AND pg_sleep(10);","TIME_BASED_BLIND",8
15,"Задача 15 (Time-based Blind)","SELECT COUNT(*) FROM big_table WHERE condition AND pg_sleep(2);","TIME_BASED_BLIND",8
16,"Задача 16 (Time-based Blind)","SELECT * FROM config WHERE active = true AND pg_sleep(1);","TIME_BASED_BLIND",8
17,"Задача 17 (Time-based Blind)","SELECT id FROM items WHERE price > 100 AND pg_sleep(3);","TIME_BASED_BLIND",8
18,"Задача 18 (Time-based Blind)","SELECT name FROM customers WHERE status = 'active' AND pg_sleep(4);","TIME_BASED_BLIND",8
19,"Задача 19 (Privilege Escalation)","SELECT run_as_admin('DROP TABLE users');","PRIV_ESCALATION",8
20,"Задача 20 (Privilege Escalation)","CALL execute_privileged_command('GRANT ALL TO public');","PRIV_ESCALATION",8
21,"Задача 21 (Privilege Escalation)","SELECT change_security_level('high');","PRIV_ESCALATION",8
22,"Задача 22 (Privilege Escalation)","EXECUTE AS USER = 'dbo'; SELECT * FROM sensitive_data;","PRIV_ESCALATION",8
23,"Задача 23 (Privilege Escalation)","SET ROLE admin; DELETE FROM audit_logs;","PRIV_ESCALATION",8
